abandon vt.丢弃；放弃
alone a.单独的 ad.单独地
alphabet n.字母表，字母系统

alter vt.改变，变更；改做

alternative n.替换物；取舍，抉择

although conj.尽管，虽然
altitude n.高，高度；高处
altogether ad.完全；总而言之

aluminium n.铝

amaze vt.使惊奇，使惊愕
ambition n.雄心，抱负，野心
ambulance n.救护车；野战医院

amongst prep在…之中(=among)


amount n.总数；数量；和

ampere n.安培

amplify vt.放大，增强；扩大

amuse vt.逗…乐；给…娱乐
analyse vt.分析，分解，解析
analysis n.分析，分解，解析
ancestor n.祖宗，祖先
anchor n.锚 vi.抛锚，停泊
ancient a.古代的，古老的
angel n.天使，神差，安琪儿
anger n.怒，愤怒 vt.使发怒
angle n.角，角度

angry a.愤怒的，生气的
ankle n.踝，踝节部

announce vt.宣布，宣告，发表

announcer n.宣告者；播音员
annoy vt.使恼怒；打搅
annual a.每年的 n.年报
anticipate vt.预料，预期，期望

anxiety n.焦虑，忧虑；渴望
anxious a.忧虑的；渴望的
anyway ad.无论如何

apart ad.相隔；分开；除去
apartment n.一套公寓房间
apologize vi.道歉，谢罪，认错

apology n.道歉，认错，谢罪
apparatus n.器械，仪器；器官

apparent a.表面上的；明显的

appeal vi.&n.呼吁；申述
appear vi.出现；来到；似乎
appearance n.出现，来到；外观

appetite n.食欲，胃口；欲望
appliance n.用具，器具，器械

applicable a.能应用的；适当的
application n.请求，申请；施用

apply vt.应用，实施，使用
appoint vt.任命，委任；约定
appointment n.任命；约定，约会

appreciate vt.欣赏；领会；感谢

approach vt.向…靠近 n.靠近

appropriate a.适当的，恰当的

approval n.赞成，同意；批准

approve vt.赞成，称许；批准

approximately ad.近似地，大约

Arabian a.阿拉伯的

arbitrary a.随心所欲的；专断的

architecture n.建筑学；建筑式样

argument n.争论，辩论；理由

arise vi.出现；由…引起
arithmetic n.算术，四则运算
arouse vt.引起，唤起；唤醒
arrangement n.整理，排列；安排

arrest vt.逮捕，拘留；阻止
arrival n.到达；到来；到达者

arrive vi.到达；来临；达到
arrow n.箭；箭状物
artificial a.人工的；娇揉造作的

artist n.艺术家，美术家
artistic a.艺术的；艺术家的
ash n.灰，灰末；骨灰
ashamed a.惭愧(的)；羞耻(的)

asleep a.睡着的，睡熟的
aspect n.方面；样子，外表
assemble vt.集合，召集；装配

assembly n.集合；集会；装配

assess vt.对(财产等)估价
assign vt.指派；分配；指定
assignment n.任务，指定的作业

assist vt.援助，帮助；搀扶 
assistant n.助手，助理；助教

associate vi.交往 n.伙伴，同事

association n.协会，团体；联合

assume vt.假定；承担；呈现
assure vt.使确信；向…保证
astonish vt.使惊讶，使吃惊
astronaut n.宇宙航行员，宇航员

athlete n.运动员；田径运动员

Atlantic a.大西洋的 n.大西洋

atmosphere n.大气；空气；气氛

atmospheric a.大气的；大气层的

atom n.原子；微粒；微量
atomic a.原子的；原子能的
attach vt.缚，系，贴；附加
attack vt.&vi.&n.攻击，进攻
attain vt.达到，获得，完成
attempt vt.尝试，试图 n.企图

attend vt.出席；照顾，护理
attention n.注意，留心；注意力

attentive a.注意的；有礼貌的

attitude n.态度，看法；姿势
attract vt.吸引；引起，诱惑
attraction n.吸引；吸引力；引力

attractive a.有吸引力的
attribute vt.把…归因于 n.属性

audience n.听众，观众，读
